Município;Dose;Total Doses Aplicadas
CAÇAPAVA;UNICA;2412
CABREÚVA;UNICA;1435
CABRÁLIA PAULISTA;UNICA;102
BURITIZAL;UNICA;97
BURITAMA;UNICA;440
BURI;UNICA;472
BROTAS;UNICA;611
BRODOWSKI;UNICA;652
BREJO ALEGRE;UNICA;72
BRAÚNA;UNICA;139
BRAGANÇA PAULISTA;UNICA;4655
BOREBI;UNICA;50
BORBOREMA;UNICA;401
BORACÉIA;UNICA;103
BORÁ;UNICA;10
BOM SUCESSO DE ITARARÉ;UNICA;77
BOM JESUS DOS PERDÕES;UNICA;711
BOITUVA;UNICA;1755
BOFETE;UNICA;292
BOCAINA;UNICA;313
BOA ESPERANÇA DO SUL;UNICA;417
BIRITIBA MIRIM;UNICA;857
BIRIGUI;UNICA;3525
BILAC;UNICA;199
BERTIOGA;UNICA;1816
BERNARDINO DE CAMPOS;UNICA;204
BENTO DE ABREU;UNICA;72
BEBEDOURO;UNICA;1639
BAURU;UNICA;8517
BATATAIS;UNICA;1395
BASTOS;UNICA;476
BARUERI;UNICA;6232
BARRINHA;UNICA;885
BARRETOS;UNICA;2711
BARRA DO TURVO;UNICA;95
BARRA DO CHAPÉU;UNICA;115
BARRA BONITA;UNICA;980
BARIRI;UNICA;829
BARBOSA;UNICA;115
BARÃO DE ANTONINA;UNICA;45
BANANAL;UNICA;262
BÁLSAMO;UNICA;200
BALBINOS;UNICA;52
BADY BASSITT;UNICA;400
AVARÉ;UNICA;2118
AVANHANDAVA;UNICA;225
AVAÍ;UNICA;40
AURIFLAMA;UNICA;351
ATIBAIA;UNICA;3531
ASSIS;UNICA;2146
ASPÁSIA;UNICA;15
ARUJÁ;UNICA;2309
ARTUR NOGUEIRA;UNICA;1508
ARIRANHA;UNICA;258
AREIÓPOLIS;UNICA;311
AREIAS;UNICA;71
AREALVA;UNICA;194
ARCO-ÍRIS;UNICA;30
ARARAS;UNICA;3812
ARARAQUARA;UNICA;6064
ARAPEÍ;UNICA;59
ARANDU;UNICA;150
ARAMINA;UNICA;134
ARAÇOIABA DA SERRA;UNICA;817
ARAÇATUBA;UNICA;4809
ARAÇARIGUAMA;UNICA;588
APIAÍ;UNICA;515
APARECIDA D'OESTE;UNICA;78
APARECIDA;UNICA;927
ANHUMAS;UNICA;83
ANHEMBI;UNICA;148
ANGATUBA;UNICA;477
ANDRADINA;UNICA;1295
ANALÂNDIA;UNICA;120
AMPARO;UNICA;1758
AMÉRICO DE CAMPOS;UNICA;125
AMÉRICO BRASILIENSE;UNICA;1088
AMERICANA;UNICA;6210
ALVINLÂNDIA;UNICA;68
ÁLVARO DE CARVALHO;UNICA;107
ÁLVARES MACHADO;UNICA;600
ÁLVARES FLORENCE;UNICA;80
ALUMÍNIO;UNICA;508
ALTO ALEGRE;UNICA;100
ALTINÓPOLIS;UNICA;384
ALTAIR;UNICA;115
ALFREDO MARCONDES;UNICA;83
ALAMBARI;UNICA;171
AGUDOS;UNICA;873
ÁGUAS DE SÃO PEDRO;UNICA;58
ÁGUAS DE SANTA BÁRBARA;UNICA;136
ÁGUAS DE LINDÓIA;UNICA;463
ÁGUAS DA PRATA;UNICA;193
AGUAÍ;UNICA;1042
ADOLFO;UNICA;77
ADAMANTINA;UNICA;878
ZACARIAS;3º DOSE;6
VOTUPORANGA;3º DOSE;1229
VOTORANTIM;3º DOSE;738
VITÓRIA BRASIL;3º DOSE;21
VISTA ALEGRE DO ALTO;3º DOSE;181
VIRADOURO;3º DOSE;209
VINHEDO;3º DOSE;805
VERA CRUZ;3º DOSE;241
VÁRZEA PAULISTA;3º DOSE;407
VARGEM GRANDE PAULISTA;3º DOSE;252
VARGEM GRANDE DO SUL;3º DOSE;1508
VARGEM;3º DOSE;142
VALPARAÍSO;3º DOSE;193
VALINHOS;3º DOSE;1914
VALENTIM GENTIL;3º DOSE;167
URUPÊS;3º DOSE;266
URU;3º DOSE;51
URÂNIA;3º DOSE;219
UNIÃO PAULISTA;3º DOSE;35
UCHOA;3º DOSE;283
UBIRAJARA;3º DOSE;71
UBATUBA;3º DOSE;691
UBARANA;3º DOSE;81
TURMALINA;3º DOSE;121
TURIÚBA;3º DOSE;51
TUPI PAULISTA;3º DOSE;363
TUPÃ;3º DOSE;1453
TUIUTI;3º DOSE;77
TRÊS FRONTEIRAS;3º DOSE;181
TREMEMBÉ;3º DOSE;884
TRABIJU;3º DOSE;30
TORRINHA;3º DOSE;234
TORRE DE PEDRA;3º DOSE;45
TIMBURI;3º DOSE;123
TIETÊ;3º DOSE;364
TERRA ROXA;3º DOSE;178
TEODORO SAMPAIO;3º DOSE;158
TEJUPÁ;3º DOSE;8
TAUBATÉ;3º DOSE;2427
TATUÍ;3º DOSE;781
TARUMÃ;3º DOSE;255
TARABAI;3º DOSE;117
TAQUARIVAÍ;3º DOSE;9
TAQUARITUBA;3º DOSE;377
TAQUARITINGA;3º DOSE;1293
TAQUARAL;3º DOSE;10
TAPIRATIBA;3º DOSE;152
TAPIRAÍ;3º DOSE;86
TANABI;3º DOSE;718
TAMBAÚ;3º DOSE;295
TAIÚVA;3º DOSE;228
TAIAÇU;3º DOSE;237
TAGUAÍ;3º DOSE;167
TACIBA;3º DOSE;65
TABOÃO DA SERRA;3º DOSE;1494
TABATINGA;3º DOSE;217
TABAPUÃ;3º DOSE;370
SUZANO;3º DOSE;2130
SUZANÁPOLIS;3º DOSE;28
SUMARÉ;3º DOSE;1765
SUD MENNUCCI;3º DOSE;266
SOROCABA;3º DOSE;2088
SOCORRO;3º DOSE;388
SILVEIRAS;3º DOSE;106
SEVERÍNIA;3º DOSE;127
SETE BARRAS;3º DOSE;102
SERTÃOZINHO;3º DOSE;1340
SERRANA;3º DOSE;3166
SERRA NEGRA;3º DOSE;407
SERRA AZUL;3º DOSE;160
SEBASTIANÓPOLIS DO SUL;3º DOSE;107
SARUTAIÁ;3º DOSE;55
SARAPUÍ;3º DOSE;57
SÃO VICENTE;3º DOSE;3585
SÃO SIMÃO;3º DOSE;313
SÃO SEBASTIÃO DA GRAMA;3º DOSE;143
SÃO SEBASTIÃO;3º DOSE;390
SÃO ROQUE;3º DOSE;923
SÃO PEDRO DO TURVO;3º DOSE;154
SÃO PEDRO;3º DOSE;2
SÃO PAULO;3º DOSE;216483
SÃO MIGUEL ARCANJO;3º DOSE;311
SÃO MANUEL;3º DOSE;507
SÃO LUIZ DO PARAITINGA;3º DOSE;195
SÃO LOURENÇO DA SERRA;3º DOSE;116
SÃO JOSÉ DOS CAMPOS;3º DOSE;6328
SÃO JOSÉ DO RIO PRETO;3º DOSE;10367
SÃO JOSÉ DO RIO PARDO;3º DOSE;1617
SÃO JOSÉ DO BARREIRO;3º DOSE;106
SÃO JOSÉ DA BELA VISTA;3º DOSE;158
SÃO JOAQUIM DA BARRA;3º DOSE;940
SÃO JOÃO DO PAU D'ALHO;3º DOSE;93
SÃO JOÃO DE IRACEMA;3º DOSE;78
SÃO JOÃO DAS DUAS PONTES;3º DOSE;86
SÃO JOÃO DA BOA VISTA;3º DOSE;1765
SÃO FRANCISCO;3º DOSE;214
SÃO CARLOS;3º DOSE;2852
SÃO CAETANO DO SUL;3º DOSE;4702
SÃO BERNARDO DO CAMPO;3º DOSE;17007
SÃO BENTO DO SAPUCAÍ;3º DOSE;85
SANTOS;3º DOSE;6000
SANTÓPOLIS DO AGUAPEÍ;3º DOSE;126
SANTO EXPEDITO;3º DOSE;83
SANTO ANTÔNIO DO PINHAL;3º DOSE;92
SANTO ANTÔNIO DO JARDIM;3º DOSE;105
SANTO ANTÔNIO DO ARACANGUÁ;3º DOSE;132
SANTO ANTÔNIO DE POSSE;3º DOSE;221
SANTO ANTÔNIO DA ALEGRIA;3º DOSE;161
SANTO ANDRÉ;3º DOSE;391
SANTO ANASTÁCIO;3º DOSE;490
SANTANA DE PARNAÍBA;3º DOSE;1634
SANTANA DA PONTE PENSA;3º DOSE;62
SANTA SALETE;3º DOSE;93
SANTA ROSA DE VITERBO;3º DOSE;455
SANTA RITA DO PASSA QUATRO;3º DOSE;633
SANTA RITA D'OESTE;3º DOSE;104
SANTA MERCEDES;3º DOSE;68
SANTA MARIA DA SERRA;3º DOSE;83
SANTA LÚCIA;3º DOSE;77
SANTA ISABEL;3º DOSE;492
SANTA GERTRUDES;3º DOSE;413
SANTA FÉ DO SUL;3º DOSE;674
SANTA ERNESTINA;3º DOSE;92
SANTA CRUZ DO RIO PARDO;3º DOSE;994
SANTA CRUZ DAS PALMEIRAS;3º DOSE;270
SANTA CRUZ DA ESPERANÇA;3º DOSE;46
SANTA CRUZ DA CONCEIÇÃO;3º DOSE;383
