UF,Município,co_municipio_ibge,Laboratório,Total de Doses Aplicadas,1ª Dose,2ª Dose,Dose Reforço,2ª Dose Reforço,Dose Adicional,Dose Única
AC,Epitaciolândia,120025,Coronavac,3.881,2.132,1.739,10,0,0,0
AC,Epitaciolândia,120025,Janssen,353,0,0,117,1,8,227
AC,Feijó,120030,Astrazeneca,21.232,11.096,9.312,822,0,2,0
AC,Feijó,120030,Pfizer,16.397,6.795,3.806,5.785,10,1,0
AC,Feijó,120030,Coronavac,11.902,6.611,5.270,21,0,0,0
AC,Feijó,120030,Janssen,883,0,0,285,0,3,595
AC,Jordão,120032,Pfizer,5.792,2.874,1.663,1.245,10,0,0
AC,Jordão,120032,Coronavac,5.323,2.818,2.499,6,0,0,0
AC,Jordão,120032,Astrazeneca,2.811,993,830,987,1,0,0
AC,Jordão,120032,Janssen,179,0,0,121,9,6,43
AC,Mâncio Lima,120033,Astrazeneca,12.984,6.230,5.340,1.381,2,31,0
AC,Mâncio Lima,120033,Pfizer,9.035,4.147,2.667,2.107,0,114,0
AC,Mâncio Lima,120033,Coronavac,8.190,4.665,3.496,24,0,5,0
AC,Mâncio Lima,120033,Janssen,491,0,0,160,0,64,267
AC,Manoel Urbano,120034,Pfizer,8.126,3.413,2.380,397,7,1.929,0
AC,Manoel Urbano,120034,Astrazeneca,5.514,2.774,2.468,67,0,205,0
AC,Manoel Urbano,120034,Coronavac,3.652,2.079,1.541,5,0,27,0
AC,Manoel Urbano,120034,Janssen,410,0,0,3,2,162,243
AC,Manoel Urbano,120034,-,166,115,50,0,0,1,0
AC,Marechal Thaumaturgo,120035,Coronavac,9.343,5.222,4.119,2,0,0,0
AC,Marechal Thaumaturgo,120035,Astrazeneca,8.300,3.809,3.284,1.203,3,1,0
AC,Marechal Thaumaturgo,120035,Pfizer,7.166,3.101,1.854,2.196,0,15,0
AC,Marechal Thaumaturgo,120035,Janssen,544,0,0,318,0,0,226
AC,Marechal Thaumaturgo,120035,-,403,329,73,1,0,0,0
AC,Plácido De Castro,120038,Pfizer,13.170,5.069,4.105,3.916,70,10,0
AC,Plácido De Castro,120038,Astrazeneca,11.412,5.458,5.197,755,2,0,0
AC,Plácido De Castro,120038,Coronavac,3.952,2.164,1.788,0,0,0,0
AC,Plácido De Castro,120038,-,309,207,101,1,0,0,0
AC,Plácido De Castro,120038,Janssen,243,0,0,115,11,17,100
AC,Porto Acre,120080,Astrazeneca,11.693,6.166,4.877,649,1,0,0
AC,Porto Acre,120080,Pfizer,8.001,3.314,1.858,2.784,36,9,0
AC,Porto Acre,120080,Coronavac,4.460,2.525,1.913,22,0,0,0
AC,Porto Acre,120080,Janssen,1.136,0,0,297,2,0,837
AC,Porto Walter,120039,Astrazeneca,6.030,2.785,2.392,853,0,0,0
AC,Porto Walter,120039,Coronavac,5.864,3.320,2.437,107,0,0,0
AC,Porto Walter,120039,Pfizer,3.482,1.760,996,726,0,0,0
AC,Porto Walter,120039,Janssen,216,0,0,125,0,0,91
AC,Rio Branco,120040,Pfizer,410.182,171.301,128.521,96.840,819,12.701,0
AC,Rio Branco,120040,Astrazeneca,217.189,106.535,103.763,6.077,50,764,0
AC,Rio Branco,120040,Coronavac,66.994,34.969,31.959,60,2,4,0
AC,Rio Branco,120040,Janssen,8.951,0,0,3.169,2,422,5.358
AC,Rio Branco,120040,-,19,16,2,1,0,0,0
AC,Rodrigues Alves,120042,Astrazeneca,7.660,3.823,3.080,728,0,29,0
AC,Rodrigues Alves,120042,Pfizer,5.487,2.491,1.624,1.295,2,75,0
AC,Rodrigues Alves,120042,Coronavac,5.431,3.123,2.145,159,0,4,0
AC,Rodrigues Alves,120042,Janssen,499,0,0,135,0,39,325
AC,Santa Rosa Do Purus,120043,Coronavac,4.429,2.400,2.023,6,0,0,0
AC,Santa Rosa Do Purus,120043,Pfizer,2.458,1.154,578,725,1,0,0
AC,Santa Rosa Do Purus,120043,Astrazeneca,2.424,825,793,806,0,0,0
AC,Santa Rosa Do Purus,120043,Janssen,378,0,0,142,0,0,236
AC,Santa Rosa Do Purus,120043,-,80,64,16,0,0,0,0
AC,Sena Madureira,120050,Pfizer,26.840,12.427,9.382,4.860,37,134,0
AC,Sena Madureira,120050,Astrazeneca,25.522,11.790,10.437,3.223,26,46,0
AC,Sena Madureira,120050,Coronavac,10.501,5.728,4.695,71,0,7,0
AC,Sena Madureira,120050,Janssen,1.650,0,0,1.057,7,4,582
AC,Sena Madureira,120050,-,446,356,85,5,0,0,0
AC,Senador Guiomard,120045,Astrazeneca,15.559,8.345,6.645,566,3,0,0
AC,Senador Guiomard,120045,Pfizer,13.425,4.843,3.575,4.527,34,446,0
AC,Senador Guiomard,120045,Coronavac,6.957,4.075,2.871,11,0,0,0
AC,Senador Guiomard,120045,Janssen,1.191,0,0,446,1,29,715
AC,Senador Guiomard,120045,-,159,155,4,0,0,0,0
AC,Tarauacá,120060,Astrazeneca,25.984,13.133,10.838,1.957,2,54,0
AC,Tarauacá,120060,Pfizer,23.844,10.782,6.733,5.771,35,523,0
AC,Tarauacá,120060,Coronavac,12.687,7.143,5.532,10,0,2,0
AC,Tarauacá,120060,Janssen,1.844,0,0,726,58,35,1.025
AC,Xapuri,120070,Pfizer,11.100,4.873,3.728,2.493,2,4,0
AC,Xapuri,120070,Coronavac,8.383,4.850,3.513,19,0,1,0
AC,Xapuri,120070,Astrazeneca,8.120,3.898,3.482,740,0,0,0
AC,Xapuri,120070,Janssen,816,0,0,702,0,0,114
AC,Xapuri,120070,-,492,357,126,9,0,0,0
AL,Água Branca,270010,Astrazeneca,14.964,7.161,6.658,640,272,233,0
AL,Água Branca,270010,Pfizer,13.622,3.656,2.998,6.954,9,5,0
AL,Água Branca,270010,Coronavac,9.905,5.119,4.786,0,0,0,0
AL,Água Branca,270010,Janssen,1.266,0,0,0,0,552,714
AL,Água Branca,270010,-,416,174,241,1,0,0,0
AL,Anadia,270020,Astrazeneca,11.272,5.546,5.115,596,9,6,0
AL,Anadia,270020,Coronavac,9.879,5.267,4.599,6,5,2,0
AL,Anadia,270020,Pfizer,9.196,1.713,1.377,5.676,412,18,0
AL,Anadia,270020,Janssen,282,0,0,35,0,88,159
AL,Arapiraca,270030,Pfizer,223.594,99.980,74.431,48.135,590,458,0
AL,Arapiraca,270030,Astrazeneca,111.891,53.297,49.968,8.242,374,10,0
AL,Arapiraca,270030,Coronavac,50.230,26.679,23.548,3,0,0,0
AL,Arapiraca,270030,Janssen,7.309,0,0,2.760,638,30,3.881
AL,Arapiraca,270030,-,1.680,637,1.042,1,0,0,0
AL,Atalaia,270040,Pfizer,39.747,16.057,12.622,10.845,204,19,0
AL,Atalaia,270040,Astrazeneca,17.395,8.804,8.150,440,0,1,0
AL,Atalaia,270040,Coronavac,9.987,5.199,4.786,2,0,0,0
AL,Atalaia,270040,Janssen,727,0,0,244,21,16,446
AL,Barra De Santo Antônio,270050,Astrazeneca,8.642,4.670,3.959,11,1,1,0
AL,Barra De Santo Antônio,270050,Pfizer,6.635,2.438,1.515,2.652,30,0,0
AL,Barra De Santo Antônio,270050,Coronavac,6.591,3.519,3.070,2,0,0,0
AL,Barra De Santo Antônio,270050,Janssen,1.814,0,0,453,24,0,1.337
AL,Barra De São Miguel,270060,Astrazeneca,5.581,2.870,2.634,45,32,0,0
AL,Barra De São Miguel,270060,Coronavac,5.352,2.903,2.449,0,0,0,0
AL,Barra De São Miguel,270060,Pfizer,4.079,1.025,691,2.242,36,85,0
AL,Barra De São Miguel,270060,Janssen,159,0,0,63,20,4,72
AL,Barra De São Miguel,270060,-,23,6,17,0,0,0,0
AL,Batalha,270070,Pfizer,14.614,5.067,4.059,5.392,88,8,0
AL,Batalha,270070,Astrazeneca,10.282,5.161,4.951,170,0,0,0
AL,Batalha,270070,Coronavac,6.291,3.320,2.970,1,0,0,0
AL,Batalha,270070,Janssen,261,0,0,100,0,1,160
AL,Belém,270080,Pfizer,4.610,1.642,1.308,1.651,7,2,0
AL,Belém,270080,Astrazeneca,2.510,1.277,1.222,10,1,0,0
AL,Belém,270080,Coronavac,1.618,823,793,2,0,0,0
AL,Belém,270080,Janssen,247,0,0,100,0,0,147
AL,Belém,270080,-,59,46,12,1,0,0,0
AL,Belo Monte,270090,Pfizer,5.226,979,780,3.449,16,2,0
AL,Belo Monte,270090,Coronavac,4.661,2.400,2.259,2,0,0,0
AL,Belo Monte,270090,Astrazeneca,4.342,2.246,2.096,0,0,0,0
AL,Belo Monte,270090,-,196,89,106,1,0,0,0
AL,Belo Monte,270090,Janssen,116,0,0,54,0,0,62
AL,Boca Da Mata,270100,Pfizer,22.011,6.950,5.785,8.671,598,7,0
AL,Boca Da Mata,270100,Astrazeneca,13.580,6.907,6.617,55,1,0,0
AL,Boca Da Mata,270100,Coronavac,8.397,4.308,4.089,0,0,0,0
AL,Boca Da Mata,270100,-,473,239,234,0,0,0,0
AL,Boca Da Mata,270100,Janssen,429,0,0,183,17,0,229
AL,Branquinha,270110,Pfizer,7.743,3.289,2.365,2.087,2,0,0
AL,Branquinha,270110,Astrazeneca,4.291,2.111,1.934,228,18,0,0
AL,Branquinha,270110,Coronavac,3.626,1.907,1.718,1,0,0,0
AL,Branquinha,270110,Janssen,152,0,0,53,10,0,89
AL,Cacimbinhas,270120,Pfizer,9.382,3.243,2.724,3.356,55,4,0
AL,Cacimbinhas,270120,Astrazeneca,6.181,3.067,2.924,190,0,0,0
AL,Cacimbinhas,270120,Coronavac,3.131,1.671,1.460,0,0,0,0
AL,Cacimbinhas,270120,Janssen,772,0,0,340,0,0,432
AL,Cacimbinhas,270120,-,299,106,192,1,0,0,0
AL,Cajueiro,270130,Astrazeneca,12.258,6.148,5.370,723,17,0,0
AL,Cajueiro,270130,Pfizer,9.592,2.850,2.042,4.444,159,97,0
AL,Cajueiro,270130,Coronavac,9.249,5.027,4.205,15,1,1,0
AL,Cajueiro,270130,Janssen,327,0,0,132,0,1,194
AL,Campestre,270135,Pfizer,4.530,1.892,1.375,1.262,0,1,0
AL,Campestre,270135,Astrazeneca,2.810,1.431,1.379,0,0,0,0
AL,Campestre,270135,Coronavac,2.240,1.139,1.101,0,0,0,0
AL,Campestre,270135,Janssen,71,0,0,18,0,0,53
AL,Campo Alegre,270140,Pfizer,32.653,12.787,9.978,9.748,118,22,0
AL,Campo Alegre,270140,Astrazeneca,25.361,11.611,10.650,3.092,1,7,0
AL,Campo Alegre,270140,Coronavac,9.764,5.104,4.655,5,0,0,0
AL,Campo Alegre,270140,Janssen,860,0,0,322,0,0,538
AL,Campo Grande,270150,Astrazeneca,5.345,2.923,2.011,408,0,3,0
AL,Campo Grande,270150,Pfizer,4.933,2.314,1.341,1.241,0,37,0
AL,Campo Grande,270150,Coronavac,3.650,1.949,1.700,1,0,0,0
AL,Campo Grande,270150,Janssen,38,0,0,1,0,10,27
AL,Canapi,270160,Astrazeneca,11.707,5.357,4.947,1.403,0,0,0
AL,Canapi,270160,Coronavac,10.753,5.548,5.203,2,0,0,0
AL,Canapi,270160,Pfizer,9.279,2.769,2.176,4.252,73,9,0
AL,Canapi,270160,Janssen,463,0,0,223,0,0,240
AL,Capela,270170,Pfizer,15.179,6.224,4.848,3.861,55,191,0
AL,Capela,270170,Astrazeneca,6.751,3.503,3.210,34,4,0,0
AL,Capela,270170,Coronavac,3.812,1.987,1.824,0,0,1,0
AL,Capela,270170,Janssen,419,0,0,166,0,2,251
AL,Carneiros,270180,Pfizer,7.328,2.920,2.245,2.096,57,10,0
AL,Carneiros,270180,Astrazeneca,4.905,2.432,2.251,222,0,0,0
AL,Carneiros,270180,Coronavac,2.512,1.339,1.173,0,0,0,0
AL,Carneiros,270180,Janssen,115,0,0,50,0,0,65
AL,Carneiros,270180,-,94,0,94,0,0,0,0
AL,Chã Preta,270190,Pfizer,7.963,2.806,2.398,2.724,32,0,3
AL,Chã Preta,270190,Astrazeneca,2.806,1.398,1.394,14,0,0,0
AL,Chã Preta,270190,Coronavac,2.412,1.277,1.135,0,0,0,0
AL,Chã Preta,270190,Janssen,222,0,0,101,0,0,121
AL,Chã Preta,270190,-,92,17,74,1,0,0,0
AL,Coité Do Nóia,270200,Pfizer,12.656,3.873,3.375,5.299,65,44,0
AL,Coité Do Nóia,270200,Astrazeneca,5.362,2.678,2.683,1,0,0,0
AL,Coité Do Nóia,270200,Coronavac,4.424,2.259,2.163,2,0,0,0
AL,Coité Do Nóia,270200,Janssen,618,0,0,280,0,1,337
AL,Coité Do Nóia,270200,-,44,42,2,0,0,0,0
AL,Colônia Leopoldina,270210,Astrazeneca,10.552,5.712,4.619,158,63,0,0
AL,Colônia Leopoldina,270210,Coronavac,7.147,3.813,3.334,0,0,0,0
AL,Colônia Leopoldina,270210,Pfizer,6.730,2.046,1.269,3.318,95,2,0
AL,Colônia Leopoldina,270210,Janssen,280,0,0,90,0,4,186
AL,Coqueiro Seco,270220,Pfizer,6.210,2.485,1.956,1.631,132,6,0
AL,Coqueiro Seco,270220,Astrazeneca,3.022,1.439,1.356,208,19,0,0
AL,Coqueiro Seco,270220,Coronavac,1.554,833,721,0,0,0,0
AL,Coqueiro Seco,270220,Janssen,78,0,0,33,0,0,45
AL,Coqueiro Seco,270220,-,25,8,17,0,0,0,0
AL,Coruripe,270230,Pfizer,64.576,28.602,22.521,13.197,154,102,0
AL,Coruripe,270230,Astrazeneca,18.151,8.796,8.650,705,0,0,0
AL,Coruripe,270230,Coronavac,10.813,5.651,5.160,2,0,0,0
AL,Coruripe,270230,Janssen,769,0,0,250,0,1,518
AL,Coruripe,270230,-,91,25,66,0,0,0,0
AL,Craíbas,270235,Astrazeneca,16.511,8.202,7.237,1.072,0,0,0
AL,Craíbas,270235,Coronavac,16.122,8.780,7.337,5,0,0,0
AL,Craíbas,270235,Pfizer,9.038,2.769,1.635,4.610,0,24,0
AL,Craíbas,270235,Janssen,303,0,0,96,0,0,207
AL,Craíbas,270235,-,138,30,105,3,0,0,0
AL,Delmiro Gouveia,270240,Pfizer,41.090,17.258,11.032,12.669,124,7,0
AL,Delmiro Gouveia,270240,Astrazeneca,26.883,13.938,11.880,1.064,0,1,0
AL,Delmiro Gouveia,270240,Coronavac,10.922,6.011,4.907,4,0,0,0
AL,Delmiro Gouveia,270240,Janssen,3.414,0,0,1.196,0,14,2.204
AL,Delmiro Gouveia,270240,-,1.349,651,693,5,0,0,0
AL,Dois Riachos,270250,Pfizer,9.326,3.619,2.817,2.860,27,3,0
AL,Dois Riachos,270250,Astrazeneca,4.543,2.181,2.085,274,3,0,0
AL,Dois Riachos,270250,Coronavac,3.648,1.889,1.759,0,0,0,0
AL,Dois Riachos,270250,Janssen,160,0,0,74,1,0,85
AL,Estrela De Alagoas,270255,Astrazeneca,11.625,6.092,5.376,157,0,0,0
AL,Estrela De Alagoas,270255,Coronavac,8.945,4.739,4.206,0,0,0,0
AL,Estrela De Alagoas,270255,Pfizer,8.583,2.112,1.537,4.924,1,9,0
AL,Estrela De Alagoas,270255,Janssen,1.057,0,0,441,0,5,611
AL,Feira Grande,270260,Pfizer,24.184,9.891,7.700,6.524,29,40,0
AL,Feira Grande,270260,Astrazeneca,10.393,4.922,4.754,716,0,1,0
AL,Feira Grande,270260,Coronavac,7.812,4.131,3.680,1,0,0,0
AL,Feira Grande,270260,Janssen,384,0,0,168,0,0,216
AL,Feira Grande,270260,-,176,28,146,2,0,0,0
AL,Feliz Deserto,270270,Pfizer,4.259,1.480,1.198,1.581,0,0,0
AL,Feliz Deserto,270270,Astrazeneca,2.157,1.092,1.044,21,0,0,0
AL,Feliz Deserto,270270,Coronavac,1.460,791,669,0,0,0,0
AL,Feliz Deserto,270270,Janssen,507,0,0,247,0,0,260
AL,Feliz Deserto,270270,-,68,1,67,0,0,0,0
AL,Flexeiras,270280,Pfizer,7.740,3.056,2.115,1.061,0,1.508,0
AL,Flexeiras,270280,Astrazeneca,5.806,3.039,2.739,17,0,11,0
AL,Flexeiras,270280,Coronavac,3.615,1.888,1.726,0,0,1,0
AL,Flexeiras,270280,Janssen,162,0,0,36,0,30,96
AL,Flexeiras,270280,-,153,91,59,0,0,3,0
AL,Girau Do Ponciano,270290,Astrazeneca,24.154,12.660,11.277,94,121,2,0
AL,Girau Do Ponciano,270290,Coronavac,22.794,11.967,10.820,7,0,0,0
AL,Girau Do Ponciano,270290,Pfizer,20.512,5.440,4.118,10.645,60,249,0
AL,Girau Do Ponciano,270290,Janssen,594,0,0,115,0,126,353
AL,Ibateguara,270300,Pfizer,9.238,4.006,2.542,2.657,5,28,0
AL,Ibateguara,270300,Astrazeneca,7.320,3.922,3.398,0,0,0,0
AL,Ibateguara,270300,Coronavac,4.686,2.511,2.173,2,0,0,0
AL,Ibateguara,270300,Janssen,156,0,0,29,0,8,119
AL,Igaci,270310,Pfizer,24.849,9.094,6.644,9.094,7,10,0
AL,Igaci,270310,Astrazeneca,13.592,6.975,6.614,3,0,0,0
AL,Igaci,270310,Coronavac,10.561,5.688,4.868,5,0,0,0
AL,Igaci,270310,Janssen,2.432,0,0,1.073,61,0,1.298
AL,Igaci,270310,-,407,84,321,2,0,0,0
AL,Igreja Nova,270320,Astrazeneca,17.805,8.499,8.240,1.065,0,1,0
AL,Igreja Nova,270320,Pfizer,15.246,3.499,2.872,8.586,218,71,0
AL,Igreja Nova,270320,Coronavac,14.338,7.494,6.844,0,0,0,0
AL,Igreja Nova,270320,Janssen,393,0,0,173,0,0,220
AL,Igreja Nova,270320,-,283,49,234,0,0,0,0
AL,Inhapi,270330,Coronavac,10.238,5.563,4.666,9,0,0,0
AL,Inhapi,270330,Astrazeneca,9.499,4.574,4.304,615,6,0,0
AL,Inhapi,270330,Pfizer,8.972,2.606,1.862,4.435,65,4,0
AL,Inhapi,270330,Janssen,770,0,0,263,0,0,507
AL,Inhapi,270330,-,267,87,180,0,0,0,0
AL,Jacaré Dos Homens,270340,Pfizer,6.495,1.964,1.765,2.713,53,0,0
AL,Jacaré Dos Homens,270340,Astrazeneca,3.983,2.011,1.936,36,0,0,0
AL,Jacaré Dos Homens,270340,Coronavac,1.563,884,679,0,0,0,0
AL,Jacaré Dos Homens,270340,-,193,37,156,0,0,0,0
AL,Jacaré Dos Homens,270340,Janssen,76,0,0,36,0,0,40
AL,Jacuípe,270350,Astrazeneca,3.550,1.862,1.668,16,4,0,0
AL,Jacuípe,270350,Pfizer,3.130,776,597,1.676,56,25,0
AL,Jacuípe,270350,Coronavac,3.082,1.631,1.450,1,0,0,0
AL,Jacuípe,270350,Janssen,86,0,0,36,0,0,50
AL,Japaratinga,270360,Astrazeneca,4.242,2.277,1.958,7,0,0,0
AL,Japaratinga,270360,Coronavac,3.885,2.073,1.753,59,0,0,0
AL,Japaratinga,270360,Pfizer,3.596,1.340,779,1.477,0,0,0
AL,Japaratinga,270360,Janssen,81,0,0,21,0,0,60
AL,Jaramataia,270370,Astrazeneca,3.462,1.784,1.599,65,14,0,0
AL,Jaramataia,270370,Coronavac,3.107,1.718,1.389,0,0,0,0
AL,Jaramataia,270370,Pfizer,3.087,845,611,1.629,2,0,0
AL,Jaramataia,270370,-,185,47,136,2,0,0,0
AL,Jaramataia,270370,Janssen,74,0,0,29,0,0,45
AL,Jequiá Da Praia,270375,Pfizer,9.945,3.945,3.410,2.576,7,7,0
AL,Jequiá Da Praia,270375,Astrazeneca,5.137,2.532,2.394,206,3,2,0
AL,Jequiá Da Praia,270375,Coronavac,2.376,1.190,1.186,0,0,0,0
AL,Jequiá Da Praia,270375,Janssen,191,0,0,91,0,1,99
AL,Joaquim Gomes,270380,Astrazeneca,13.907,7.280,5.790,837,0,0,0
AL,Joaquim Gomes,270380,Pfizer,8.024,2.672,1.479,3.799,68,6,0
AL,Joaquim Gomes,270380,Coronavac,7.167,3.938,3.226,3,0,0,0
AL,Joaquim Gomes,270380,Janssen,241,0,0,59,0,1,181
AL,Jundiá,270390,Coronavac,2.589,1.365,1.224,0,0,0,0
AL,Jundiá,270390,Astrazeneca,2.318,1.164,1.002,152,0,0,0
AL,Jundiá,270390,Pfizer,1.485,434,289,760,0,2,0
AL,Jundiá,270390,-,107,49,56,2,0,0,0
AL,Jundiá,270390,Janssen,35,0,0,28,0,1,6
AL,Junqueiro,270400,Astrazeneca,11.072,6.642,4.368,62,0,0,0
AL,Junqueiro,270400,Pfizer,10.402,4.994,2.313,3.038,57,0,0
AL,Junqueiro,270400,Coronavac,9.003,5.294,3.709,0,0,0,0
AL,Junqueiro,270400,Janssen,307,0,0,91,0,0,216
AL,Junqueiro,270400,-,20,10,10,0,0,0,0
AL,Lagoa Da Canoa,270410,Pfizer,19.935,8.009,6.152,5.742,21,11,0
AL,Lagoa Da Canoa,270410,Astrazeneca,8.693,4.609,4.076,8,0,0,0
AL,Lagoa Da Canoa,270410,Coronavac,6.052,3.338,2.714,0,0,0,0
AL,Lagoa Da Canoa,270410,-,468,105,362,1,0,0,0
AL,Lagoa Da Canoa,270410,Janssen,271,0,0,117,0,0,154
AL,Limoeiro De Anadia,270420,Coronavac,15.786,8.555,7.222,9,0,0,0
AL,Limoeiro De Anadia,270420,Astrazeneca,13.364,7.203,6.099,59,3,0,0
AL,Limoeiro De Anadia,270420,Pfizer,11.883,3.012,1.953,6.910,3,5,0
AL,Limoeiro De Anadia,270420,Janssen,2.129,0,0,822,0,2,1.305
AL,Limoeiro De Anadia,270420,-,480,231,249,0,0,0,0
AL,Maceió,270430,Pfizer,1.069.784,393.990,332.725,308.550,30.844,3.674,1
AL,Maceió,270430,Astrazeneca,510.924,247.398,237.281,22.394,3.607,244,0
AL,Maceió,270430,Coronavac,337.242,184.192,152.941,97,1,11,0
AL,Maceió,270430,-,36.775,18.637,18.037,79,12,10,0
AL,Maceió,270430,Janssen,32.993,0,0,13.622,2.881,119,16.371
AL,Major Isidoro,270440,Astrazeneca,13.335,6.993,6.149,185,8,0,0
AL,Major Isidoro,270440,Coronavac,9.687,5.161,4.521,5,0,0,0
AL,Major Isidoro,270440,Pfizer,9.200,2.235,1.556,5.374,34,1,0
AL,Major Isidoro,270440,Janssen,230,0,0,73,0,0,157
AL,Major Isidoro,270440,-,146,19,127,0,0,0,0
AL,Mar Vermelho,270490,Pfizer,4.766,1.371,1.251,1.906,162,76,0
AL,Mar Vermelho,270490,Astrazeneca,1.675,849,826,0,0,0,0
AL,Mar Vermelho,270490,Coronavac,1.182,630,552,0,0,0,0
AL,Mar Vermelho,270490,-,66,0,65,1,0,0,0
AL,Mar Vermelho,270490,Janssen,44,0,0,19,0,0,25
AL,Maragogi,270450,Pfizer,30.142,13.672,9.396,6.887,185,2,0
AL,Maragogi,270450,Astrazeneca,13.215,6.745,5.972,479,18,1,0
AL,Maragogi,270450,Coronavac,7.370,3.821,3.547,2,0,0,0
AL,Maragogi,270450,Janssen,671,0,0,232,0,10,429
AL,Maravilha,270460,Astrazeneca,6.745,3.407,3.270,68,0,0,0
AL,Maravilha,270460,Pfizer,5.671,1.344,1.188,3.109,29,1,0
AL,Maravilha,270460,Coronavac,5.436,2.802,2.632,2,0,0,0
AL,Maravilha,270460,Janssen,124,0,0,59,0,0,65
AL,Maravilha,270460,-,119,48,71,0,0,0,0
AL,Marechal Deodoro,270470,Pfizer,57.203,23.757,18.856,13.959,601,30,0
AL,Marechal Deodoro,270470,Astrazeneca,26.315,13.941,12.159,141,73,1,0
AL,Marechal Deodoro,270470,Coronavac,14.444,7.957,6.465,18,3,1,0
AL,Marechal Deodoro,270470,Janssen,844,0,0,325,26,13,480
AL,Marechal Deodoro,270470,-,6,6,0,0,0,0,0
AL,Maribondo,270480,Pfizer,11.584,3.981,3.272,4.300,21,10,0
AL,Maribondo,270480,Astrazeneca,8.531,4.179,3.995,353,0,4,0
AL,Maribondo,270480,Coronavac,3.768,1.942,1.826,0,0,0,0
AL,Maribondo,270480,Janssen,880,0,0,406,0,0,474
AL,Mata Grande,270500,Pfizer,17.171,6.025,4.237,6.850,55,4,0
AL,Mata Grande,270500,Coronavac,9.443,5.039,4.399,5,0,0,0
AL,Mata Grande,270500,Astrazeneca,9.288,4.946,4.341,1,0,0,0
AL,Mata Grande,270500,Janssen,1.344,0,0,520,0,0,824
AL,Matriz De Camaragibe,270510,Pfizer,13.965,5.827,4.106,3.984,45,3,0
AL,Matriz De Camaragibe,270510,Astrazeneca,12.089,6.263,5.613,197,16,0,0
AL,Matriz De Camaragibe,270510,Coronavac,5.531,3.015,2.516,0,0,0,0
AL,Matriz De Camaragibe,270510,Janssen,997,0,0,180,0,1,816
AL,Matriz De Camaragibe,270510,-,185,99,86,0,0,0,0
AL,Messias,270520,Astrazeneca,14.714,7.879,6.638,168,28,1,0
AL,Messias,270520,Pfizer,7.427,1.979,1.526,3.891,30,1,0
AL,Messias,270520,Coronavac,5.444,3.046,2.396,2,0,0,0
AL,Messias,270520,Janssen,203,0,0,46,0,0,157
AL,Minador Do Negrão,270530,Pfizer,3.786,687,544,2.555,0,0,0
AL,Minador Do Negrão,270530,Astrazeneca,3.608,1.802,1.770,36,0,0,0
AL,Minador Do Negrão,270530,Coronavac,3.329,1.808,1.521,0,0,0,0
AL,Minador Do Negrão,270530,Janssen,339,0,0,155,0,0,184
AL,Minador Do Negrão,270530,-,237,3,234,0,0,0,0
AL,Monteirópolis,270540,Astrazeneca,4.972,2.525,2.264,183,0,0,0
AL,Monteirópolis,270540,Pfizer,4.484,1.664,996,1.816,0,8,0
AL,Monteirópolis,270540,Coronavac,3.158,1.641,1.517,0,0,0,0
AL,Monteirópolis,270540,Janssen,75,0,0,25,0,0,50
